City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,6.06,56,75,3.6,CL,1680109784
1,longyearbyen,78.2186,15.6401,-12.09,79,40,1.03,SJ,1680109785
2,faanui,-16.4833,-151.75,27.78,74,86,4.23,PF,1680109785
3,mataura,-46.1927,168.8643,5.27,84,36,1.77,NZ,1680109785
4,the valley,18.217,-63.0578,27.08,69,20,6.17,AI,1680109785
5,lompoc,34.6391,-120.4579,13.25,81,25,5.36,US,1680109770
6,laguna,38.421,-121.4238,9.86,85,100,6.69,US,1680109786
7,martapura,-3.4167,114.85,26.05,100,100,0.51,ID,1680109786
8,chuy,-33.6971,-53.4616,29.11,40,0,4.17,UY,1680109786
9,codrington,-38.2667,141.9667,12.23,83,79,3.47,AU,1680109786
10,empalme,27.9667,-110.8167,25.75,27,0,0.0,MX,1680109568
11,mahebourg,-20.4081,57.7,25.7,75,80,6.31,MU,1680109786
12,hermanus,-34.4187,19.2345,16.0,73,88,1.85,ZA,1680109787
13,oktyabrskoye,43.0645,44.7417,9.08,93,100,3.0,RU,1680109787
14,jamestown,42.097,-79.2353,8.9,50,75,9.83,US,1680109787
15,bucak,37.4592,30.595,1.29,65,36,7.45,TR,1680109787
16,ushuaia,-54.8,-68.3,5.81,61,40,8.75,AR,1680109788
17,ahipara,-35.1667,173.1667,10.51,76,32,2.05,NZ,1680109788
18,norsup,-16.0667,167.3833,25.66,82,100,1.37,VU,1680109788
19,san vicente,-26.6167,-54.1333,30.93,44,26,1.89,AR,1680109788
20,omboue,-1.5746,9.2618,25.75,81,98,2.93,GA,1680109788
21,mar del plata,-38.0023,-57.5575,19.41,53,40,5.66,AR,1680109789
22,hilo,19.7297,-155.09,22.93,90,40,3.09,US,1680109525
23,norfolk,42.1668,-71.2495,11.48,38,0,0.89,US,1680109789
24,acapulco,16.8634,-99.8901,29.9,54,0,3.6,MX,1680109789
25,tasiilaq,65.6145,-37.6368,-5.91,68,24,1.0,GL,1680109789
26,sao jose da coroa grande,-8.8978,-35.1478,27.94,72,75,5.2,BR,1680109790
27,kodiak,57.79,-152.4072,2.73,75,100,1.54,US,1680109728
28,vangaindrano,-23.35,47.6,22.88,77,61,2.22,MG,1680109790
29,nemuro,43.3236,145.575,1.7,90,14,2.84,JP,1680109790
30,upernavik,72.7868,-56.1549,-23.44,78,15,3.13,GL,1680109791
31,katsuura,35.1333,140.3,12.24,81,99,1.84,JP,1680109791
32,rikitea,-23.1203,-134.9692,26.39,72,89,2.05,PF,1680109791
33,bileca,42.8719,18.4297,6.94,62,33,1.06,BA,1680109791
34,cidreira,-30.1811,-50.2056,29.57,60,0,1.16,BR,1680109791
35,pinheiro,-2.5214,-45.0825,26.16,92,93,1.2,BR,1680109792
36,bredasdorp,-34.5322,20.0403,15.96,64,80,4.2,ZA,1680109792
37,turukhansk,65.8167,87.9833,-20.28,96,100,5.5,RU,1680109792
38,brae,60.3964,-1.353,5.9,90,100,11.86,GB,1680109605
39,pangnirtung,66.1451,-65.7125,-12.05,95,98,1.99,CA,1680109793
40,dikson,73.5069,80.5464,-19.91,99,100,2.66,RU,1680109793
41,port alfred,-33.5906,26.891,17.32,65,88,4.47,ZA,1680109460
42,flin flon,54.7682,-101.865,-5.27,89,96,3.22,CA,1680109793
43,boone,39.0334,-92.3335,12.59,53,80,1.74,US,1680109319
44,beaufort,5.3473,115.7455,24.18,94,100,1.39,MY,1680109793
45,kapaa,22.0752,-159.319,24.18,90,75,5.14,US,1680109793
46,busselton,-33.65,115.3333,17.74,58,80,6.77,AU,1680109794
47,san patricio,28.017,-97.5169,19.94,59,99,4.98,US,1680109563
